objectid,parentid,filename,identifier,title,format,type,creator,contributor,description,date,description,description,subject
MBE099,,,PS2618 .P89 2011,The Premature burial,compound_object,Book,"Poe, Edgar Allan, 1809-1849.",Miniature Book Society InU,Loket [Czechoslovakia] : Jan & Jarmila Sobota,2011,"[2], 97, [3] p. ; 46 mm. (in box 73 mm.)","Bound in black leather. Enclosure is a wooden box in the shape of a coffin, which also contains a small figurine of a man's upper torso and head. In black bag with pull-string.",Miniature books--Specimens; Artists' books--Specimens
MBE056,MBE099,PS2618.P892011-001.jpg,PS2618 .P89 2011,The Premature burial,image/jpeg,Book,"Poe, Edgar Allan, 1809-1849.",Miniature Book Society InU,Loket [Czechoslovakia] : Jan & Jarmila Sobota,2011,"[2], 97, [3] p. ; 46 mm. (in box 73 mm.)","Bound in black leather. Enclosure is a wooden box in the shape of a coffin, which also contains a small figurine of a man's upper torso and head. In black bag with pull-string.",Miniature books--Specimens; Artists' books--Specimens
MBE057,MBE099,PS2618.P892011-002.jpg,PS2618 .P89 2011,The Premature burial,image/jpeg,Book,"Poe, Edgar Allan, 1809-1849.",Miniature Book Society InU,Loket [Czechoslovakia] : Jan & Jarmila Sobota,2011,"[2], 97, [3] p. ; 46 mm. (in box 73 mm.)","Bound in black leather. Enclosure is a wooden box in the shape of a coffin, which also contains a small figurine of a man's upper torso and head. In black bag with pull-string.",Miniature books--Specimens; Artists' books--Specimens
MBE058,MBE099,PS2618.P892011-003.jpg,PS2618 .P89 2011,The Premature burial,image/jpeg,Book,"Poe, Edgar Allan, 1809-1849.",Miniature Book Society InU,Loket [Czechoslovakia] : Jan & Jarmila Sobota,2011,"[2], 97, [3] p. ; 46 mm. (in box 73 mm.)","Bound in black leather. Enclosure is a wooden box in the shape of a coffin, which also contains a small figurine of a man's upper torso and head. In black bag with pull-string.",Miniature books--Specimens; Artists' books--Specimens
